,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dwelling,Dwelling Grade,Household m2,Size Grade,Bedrooms,Years,Old,Heating Source,Area Code,Occupants,Children,Teenagers,Adults,Elders,Ainc,Adec,Agauge,Fulltimers,Parttimers,Grads,PostGrads,Education Index,Income,Recycling,Energy Class,Thermostats,Water Heater,Smart Plugs,Awareness,Start,End,Days,Kwhs,Kwh/day,Kwh/day/m2,HDD,CDD,HID
,Appartment,0,50,0,,30+,1,Yes,54642,2,0,0,2,0,"1,8","1,5",2,2,0,2,1,"0,9722","10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,13/10/2021,13/02/2022,123,2013,"16,36585366","0,3273170732","678,768",0,0
,Appartment,0,49,0,1,30+,1,Yes,54642,2,0,0,2,0,"1,8","1,5",2,1,1,2,1,"0,9722","10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,13/06/2021,13/10/2021,122,1680,"13,7704918","0,281030445","2,542","526,987","551,352"
,Appartment,0,86,"0,4",4,30+,1,Yes,55132,1,0,0,1,0,"0,9","0,75",1,0,0,0,0,"0,8333","0 - 10,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,08/11/2021,07/03/2022,119,1209,"10,15966387","0,1181356263","769,315",0,0
,Appartment,0,80,"0,2",2,16 - 30,"0,66",Yes,55535,1,0,0,1,0,"0,9","0,75",1,0,0,0,0,"0,8333","10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,21/10/2021,16/02/2022,118,2091,"17,72033898","0,2215042373","695,083",0,0
,Appartment,0,50,0,,30+,1,Yes,54642,2,0,0,2,0,"1,8","1,5",2,2,0,2,1,"0,9722","10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,12/06/2021,12/10/2021,122,1634,"13,39344262","0,2678688525","1,662","527,988","551,977"
,Appartment,0,49,0,1,30+,1,Yes,54642,2,0,0,2,0,"1,8","1,5",2,1,1,2,1,"0,9722","10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,13/10/2021,13/02/2022,123,2013,"16,36585366","0,3339970134","678,768",0,0
,Appartment,0,80,"0,2",2,16 - 30,"0,66",Yes,55535,1,0,0,1,0,"0,9","0,75",1,0,0,0,0,"0,8333","10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,18/06/2021,20/10/2021,124,959,"7,733870968","0,0966733871","18,633","562,396","430,061"
,Townhome,"0,4",25,0,1,30+,1,Yes,54640,2,0,0,2,0,"1,8","1,5",2,2,0,2,0,"0,9444","0 - 10,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,23/08/2021,21/12/2021,120,872,"7,27","0,29","248,46","93,06","64,73"
,Townhome,"0,4",25,0,1,30+,1,Yes,54640,2,0,0,2,0,"1,8","1,5",2,2,0,2,0,"0,9444","0 - 10,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,23/08/2021,21/12/2021,120,872,"7,266666667","0,2906666667","248,462","93,063","64,728"
,Family House,1,220,1,4,6 - 15,"0,33",No,55236,2,0,0,2,0,"1,8","1,5",2,2,0,2,1,"0,9722","10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,01/01/2022,28/02/2022,58,720,"12,4137931","0,05642633229","449,703",0,0
,Family House,1,220,1,4,6 - 15,"0,33",No,55236,2,0,0,2,0,"1,8","1,5",2,2,0,2,1,"0,9722","10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,01/06/2021,30/07/2021,59,770,"13,05084746","0,0593220339","0,258","309,408","236,978"
,Appartment,0,84,"0,4",2,30+,1,No,54636,2,0,0,2,0,"1,8","1,5",2,2,0,2,2,"1,0000","20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,14/09/2021,17/01/2022,125,478,"3,824","0,04552380952","549,289","28,087","18,736"
,Appartment,0,66,"0,2",2,0 - 5,0,No,54636,2,0,0,2,0,"1,8","1,5",2,0,0,0,0,"0,8333","10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,02/10/2021,02/01/2022,92,697,"7,576086957","0,1147891963","393,031","0,012",0
,Appartment,0,90,"0,4",2,30+,1,No,54639,2,0,0,2,0,"1,8","1,5",2,1,0,2,0,"0,9444","20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,10/09/2021,12/01/2022,124,660,"5,322580645","0,05913978495","435,415","33,904","22,583"
,Appartment,0,95,"0,4",2,6 - 15,"0,33",No,54250,2,0,0,2,0,"1,8","1,5",2,2,0,2,1,"0,9722","20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,12/09/2020,21/01/2021,131,1630,"12,44274809","0,1309762957","381,638","50,367","30,945"
,Appartment,0,100,"0,4",3,6 - 15,"0,33",No,55132,4,0,0,4,0,"3,6",3,4,2,0,2,1,"0,9028","40,000€ - 60,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,06/01/2022,03/02/2022,28,189,"6,75","0,0675","240,651",0,0
,Appartment,0,90,"0,4",2,30+,1,No,54639,2,0,0,2,0,"1,8","1,5",2,1,0,2,0,"0,9444","20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,10/06/2021,12/09/2021,94,420,"4,468085106","0,04964539007",0,"501,513","534,333"
,Appartment,0,95,"0,4",2,6 - 15,"0,33",No,54250,2,0,0,2,0,"1,8","1,5",2,2,0,2,1,"0,9722","20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,25/05/2021,22/09/2021,120,1798,"14,98333333","0,1577192982","0,129","541,021","559,978"
,Appartment,0,100,"0,4",3,6 - 15,"0,33",No,55132,4,0,0,4,0,"3,6",3,4,2,0,2,1,"0,9028","40,000€ - 60,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,04/06/2021,02/07/2021,28,244,"8,714285714","0,08714285714",0,"120,821","91,67"
,Semidetached,"0,7",165,"0,8",6,16 - 30,"0,66",No,57001,3,0,0,3,0,"2,7","2,25",3,2,0,2,1,"0,9259","άνω των 60,0001€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,31/08/2021,30/12/2021,121,1063,"8,785123967","0,05324317556","334,683","64,396","45,227"
,Semidetached,"0,7",165,"0,8",6,16 - 30,"0,66",No,57001,3,0,0,3,0,"2,7","2,25",3,2,0,2,1,"0,9259","άνω των 60,0001€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,28/04/2021,31/08/2021,125,1847,"14,776","0,08955151515","5,325","567,971","432,064"
,Semidetached,"0,7",191,"0,8",4,6 - 15,"0,33",No,57001,4,1,1,2,0,"3,05","3,4","3,25",2,0,1,0,"0,8889","10,001€ - 20,000€",Sometimes,Sometimes,Rarely,No,Rarely,Sometimes,01/09/2021,31/12/2021,121,2719,"22,47107438","0,1176496041","338,604","60,196","42,112"
,Semidetached,"0,7",116,"0,6",3,6 - 15,"0,33",No,57300,1,0,0,1,0,"0,9","0,75",1,1,0,1,1,"1,0000","10,001€ - 20,000€",Sometimes,Sometimes,Rarely,No,Rarely,Sometimes,17/10/2021,16/02/2022,122,1170,"9,590163934","0,08267382702","881,603","0,042",0
,Semidetached,"0,7",191,"0,8",4,6 - 15,"0,33",No,57001,4,1,1,2,0,"3,05","3,4","3,25",2,0,1,0,"0,8889","10,001€ - 20,000€",Sometimes,Sometimes,Rarely,No,Rarely,Sometimes,01/05/2021,01/09/2021,123,1946,"15,82113821","0,08283318435","3,496","571,983","435,389"
,Semidetached,"0,7",116,"0,6",3,6 - 15,"0,33",No,57300,1,0,0,1,0,"0,9","0,75",1,1,0,1,1,"1,0000","10,001€ - 20,000€",Sometimes,Sometimes,Rarely,No,Rarely,Sometimes,09/06/2021,22/09/2021,105,156,"1,485714286","0,01280788177","0,462","369,321","271,068"
,Appartment,0,80,"0,2",2,6 - 15,"0,33",No,17124,3,1,0,2,0,"2,3","2,5","2,5",2,0,2,1,"0,9722","40,000€ - 60,000€",Sometimes,Often or Always,Rarely,No,Rarely,Sometimes,25/10/2021,22/02/2022,120,1135,"9,458333333","0,1182291667","313,483","1,625","0,471"
