,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dwelling,Dwelling Grade,Household m2,Size Grade,Bedrooms,Years,Old,Heating Source,Area Code,Occupants,Children,Teenagers,Adults,Elders,Ainc,Adec,Agauge,Fulltimers,Parttimers,Grads,PostGrads,Education Index,Income,Recycling,Energy Class,Thermostats,Water Heater,Smart Plugs,Awareness,Start,End,Days,Kwhs,Kwh/day,Kwh/day/m2,HDD,CDD,HID
,Appartment,0,82,"0,4",2,16 - 30,"0,66",No,57019,4,0,1,3,0,"3,45","3,15","3,75",1,0,2,1,"0,9259","40,000€ - 60,000€",Often or Always,Sometimes,Often or Always,Yes,Rarely,Rarely,28/08/2021,29/12/2021,123,1455,"11,82926829","0,1442593694","327,808","60,613","39,198"
,Appartment,0,82,"0,4",2,16 - 30,"0,66",No,57019,4,0,1,3,0,"3,45","3,15","3,75",1,0,2,1,"0,9259","40,000€ - 60,000€",Often or Always,Sometimes,Often or Always,Yes,Rarely,Rarely,28/04/2021,28/08/2021,122,1812,"14,85245902","0,181127549","4,075","423,192","315,183"
,Semidetached,"0,7",110,"0,6",2,30+,1,Yes,54640,2,0,0,2,0,"1,8","1,5",2,1,0,1,0,"0,8889","0 - 10,000€",Rarely,Sometimes,Often or Always,Yes,Rarely,Rarely,25/08/2021,27/12/2021,124,788,"6,35483871","0,057771261","308,996","83,192","57,442"
,Semidetached,"0,7",110,"0,6",2,30+,1,Yes,54640,2,0,0,2,0,"1,8","1,5",2,1,0,1,0,"0,8889","0 - 10,000€",Rarely,Sometimes,Often or Always,Yes,Rarely,Rarely,25/05/2021,27/09/2021,125,360,"2,88","0,02618181818","0,625","545,125","562,541"
,Family House,1,400,1,5,16 - 30,"0,66",No,64007,4,1,1,3,0,"3,95","4,15","4,25",2,0,3,1,"0,9630","20,001€ - 40,000€",Sometimes,Often or Always,Often or Always,Yes,Rarely,Rarely,01/10/2021,28/02/2022,150,3500,"23,33333333","0,05833333333","873,46","0,04",0
,Family House,1,400,1,5,16 - 30,"0,66",No,64007,4,1,1,3,0,"3,95","4,15","4,25",2,0,3,1,"0,9630","20,001€ - 40,000€",Sometimes,Often or Always,Often or Always,Yes,Rarely,Rarely,01/06/2021,30/09/2021,121,1600,"13,2231405","0,03305785124","4,09","487,94","364,51"
,Appartment,0,120,"0,6",3,0 - 5,0,No,42131,4,0,1,1,0,"1,65","1,65","1,75",2,0,1,0,"0,9444","10,001€ - 20,000€",Sometimes,Often or Always,Often or Always,Yes,Rarely,Rarely,15/10/2021,14/02/2022,122,850,"6,967213115","0,05806010929","718,714","0,754","0,225"
,Appartment,0,120,"0,6",3,0 - 5,0,No,42131,4,0,1,1,0,"1,65","1,65","1,75",2,0,1,0,"0,9444","10,001€ - 20,000€",Sometimes,Often or Always,Often or Always,Yes,Rarely,Rarely,15/06/2021,14/10/2021,121,2,"0,0173553719","0,0001446280992","10,188","625,179","480,252"
,Semidetached,"0,7",128,"0,6",3,16 - 30,"0,66",Yes,58200,2,0,0,2,0,"1,8","1,5",2,2,0,0,0,"0,8333","20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,Yes,Rarely,Rarely,16/11/2020,16/03/2021,120,2400,20,"0,15625","851,783",0,0
,Semidetached,"0,7",128,"0,6",3,16 - 30,"0,66",Yes,58200,2,0,0,2,0,"1,8","1,5",2,2,0,0,0,"0,8333","20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,Yes,Rarely,Rarely,16/07/2021,16/11/2021,123,2500,"20,32520325","0,1587906504","138,633","346,367","264,783"
,Family House,1,117,"0,6",3,6 - 15,"0,33",No,57003,4,0,0,4,0,"3,6",3,4,0,0,1,0,"0,8611","20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,Yes,Rarely,Rarely,01/09/2021,02/01/2022,123,2081,"16,92","0,14","429,52","63,89","45,63"
,Appartment,0,110,"0,6",3,6 - 15,"0,33",No,54454,4,2,0,2,0,"2,8","3,5",3,1,0,1,0,"0,8889","20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,Yes,Rarely,Rarely,01/10/2021,31/01/2022,122,2234,"18,31147541","0,1664679583","598,774","0,188","0,011"
,Appartment,0,110,"0,6",3,6 - 15,"0,33",No,54454,4,2,0,2,0,"2,8","3,5",3,1,0,1,0,"0,8889","20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,Yes,Rarely,Rarely,01/10/2021,31/01/2022,122,2234,"18,31147541","0,1664679583","598,774","0,188","0,011"
,Semidetached,"0,7",180,"0,8",4,0 - 5,0,No,57001,5,0,1,4,0,"4,35","3,9","4,75",2,0,1,0,"0,8611","20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,Yes,Rarely,Rarely,03/01/2022,15/03/2022,71,1360,"19,15492958","0,1064162754","494,506",0,0
,Semidetached,"0,7",180,"0,8",4,0 - 5,0,No,57001,5,0,1,4,0,"4,35","3,9","4,75",2,0,1,0,"0,8611","20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,Yes,Rarely,Rarely,29/03/2022,01/09/2022,156,2056,"13,17948718","0,07321937322",#N/A,#N/A,#N/A
,Semidetached,"0,7",180,"0,8",5,16 - 30,"0,66",No,57010,3,1,0,2,0,"2,3","2,5","2,5",2,0,2,1,"0,9722","άνω των 60,0001€",Often or Always,Rarely,Often or Always,Yes,Rarely,Rarely,30/09/2021,29/01/2022,121,1364,"11,27272727","0,06262626263","647,81","0,012",0
,Semidetached,"0,7",180,"0,8",5,16 - 30,"0,66",No,57010,3,1,0,2,0,"2,3","2,5","2,5",2,0,2,1,"0,9722","άνω των 60,0001€",Often or Always,Rarely,Often or Always,Yes,Rarely,Rarely,29/01/2021,29/05/2021,120,1281,"10,675","0,05930555556","483,346","26,608","16,674"
,Family House,1,92,"0,4",2,30+,1,No,38222,2,0,0,1,1,"1,9","1,25","1,75",0,0,0,0,"0,8333","0 - 10,000€",Rarely,Rarely,Often or Always,Yes,Rarely,Rarely,18/11/2021,20/01/2022,63,806,"12,79365079","0,1390614217","336,435",0,0
,Family House,1,92,"0,4",2,30+,1,No,38222,2,0,0,1,1,"1,9","1,25","1,75",0,0,0,0,"0,8333","0 - 10,000€",Rarely,Rarely,Often or Always,Yes,Rarely,Rarely,19/05/2021,15/07/2021,57,580,"10,1754386","0,1106025934","0,358","274,304","209,596"
,Appartment,0,115,"0,6",3,0 - 5,0,No,54643,2,0,0,2,0,"1,8","1,5",2,1,0,2,0,"0,9444","10,001€ - 20,000€",Sometimes,Sometimes,Rarely,Yes,Rarely,Rarely,25/10/2021,23/02/2022,121,375,"3,099173554","0,02694933525","741,243",0,0
,Appartment,0,115,"0,6",3,0 - 5,0,No,54643,2,0,0,2,0,"1,8","1,5",2,1,0,2,0,"0,9444","10,001€ - 20,000€",Sometimes,Sometimes,Rarely,Yes,Rarely,Rarely,25/07/2021,10/09/2021,47,223,"4,744680851","0,04125809436",0,"267,179","356,135"
,Appartment,0,100,"0,4",3,6 - 15,"0,33",No,56224,5,0,1,4,0,"4,35","3,9","4,75",2,0,2,0,"0,8889","20,001€ - 40,000€",Often or Always,Often or Always,Rarely,Yes,Rarely,Rarely,27/09/2021,28/01/2022,123,1061,"8,62601626","0,0862601626","555,811","3,683","2,054"
,Appartment,0,50,0,1,6 - 15,"0,33",Yes,55134,1,0,0,1,0,"0,9","0,75",1,1,0,1,0,"0,9444","10,001€ - 20,000€",Sometimes,Sometimes,Sometimes,No,Rarely,Rarely,23/12/2021,22/02/2022,61,306,"5,016393443","0,1003278689","480,714",0,0
,Appartment,0,50,0,1,6 - 15,"0,33",Yes,55134,1,0,0,1,0,"0,9","0,75",1,1,0,1,0,"0,9444","10,001€ - 20,000€",Sometimes,Sometimes,Sometimes,No,Rarely,Rarely,23/04/2021,24/08/2021,123,505,"4,105691057","0,08211382114","14,437","532,029","405,257"
,Appartment,0,65,"0,2",1,30+,1,Yes,54352,2,0,0,2,0,"1,8","1,5",2,2,0,2,2,"1,0000","20,001€ - 40,000€",Rarely,Sometimes,Sometimes,No,Rarely,Rarely,20/09/2021,19/01/2022,121,3350,"27,68595041","0,4259376987","509,478","11,771","7,632"
,Appartment,0,65,"0,2",1,30+,1,Yes,54352,2,0,0,2,0,"1,8","1,5",2,2,0,2,2,"1,0000","20,001€ - 40,000€",Rarely,Sometimes,Sometimes,No,Rarely,Rarely,19/05/2021,19/09/2021,123,1251,"10,17073171","0,1564727955","0,388","540,075","558,993"
,Appartment,0,62,"0,2",2,16 - 30,"0,66",No,56224,4,0,1,3,0,"3,45","3,15","3,75",1,1,0,0,"0,8333","10,001€ - 20,000€",Rarely,Often or Always,Sometimes,No,Rarely,Rarely,27/09/2021,26/01/2022,121,1444,"11,9338843","0,1924820048","539,389","3,683","2,054"
,Appartment,0,62,"0,2",2,16 - 30,"0,66",No,56224,4,0,1,3,0,"3,45","3,15","3,75",1,1,0,0,"0,8333","10,001€ - 20,000€",Rarely,Often or Always,Sometimes,No,Rarely,Rarely,25/02/2021,22/06/2021,117,1361,"11,63247863","0,1876206231","237,638","94,754","64,322"
,Appartment,0,49,0,1,6 - 15,"0,33",No,55135,3,0,0,3,0,"2,7","2,25",3,1,0,1,1,"0,8889","20,001€ - 40,000€",Sometimes,Sometimes,Often or Always,No,Rarely,Rarely,01/09/2021,29/12/2021,119,1309,11,"0,2244897959","329,908","60,196","42,112"
,Appartment,0,49,0,1,6 - 15,"0,33",No,55135,3,0,0,3,0,"2,7","2,25",3,1,0,1,1,"0,8889","20,001€ - 40,000€",Sometimes,Sometimes,Often or Always,No,Rarely,Rarely,28/04/2021,31/08/2021,125,1542,"12,336","0,251755102","5,325","567,971","432,064"
,Appartment,0,142,"0,8",3,30+,1,No,54248,3,0,0,3,0,"2,7","2,25",3,2,0,2,0,"0,9074","20,001€ - 40,000€",Often or Always,Sometimes,Often or Always,No,Rarely,Rarely,02/08/2021,01/12/2021,121,1674,"13,83","0,10","106,91","288,42","219,22"
,Appartment,0,45,0,1,30+,1,No,54248,1,0,0,1,0,"0,9","0,75",1,0,0,1,0,"0,9444","0 - 10,000€",Often or Always,Sometimes,Often or Always,No,Rarely,Rarely,25/10/2021,23/02/2022,121,168,"1,388429752","0,03085399449","691,968",0,0
,Appartment,0,60,0,2,16 - 30,"0,66",No,54248,1,0,0,1,0,"0,9","0,75",1,1,0,1,1,"1,0000","10,001€ - 20,000€",Often or Always,Sometimes,Often or Always,No,Rarely,Rarely,01/10/2021,28/12/2021,88,137,"1,556818182","0,0259469697","303,325","0,492","0,02"
,Appartment,0,142,"0,8",3,30+,1,No,54248,3,0,0,3,0,"2,7","2,25",3,2,0,2,0,"0,9074","20,001€ - 40,000€",Often or Always,Sometimes,Often or Always,No,Rarely,Rarely,02/08/2021,01/12/2021,121,1674,"13,83471074","0,09742754045","106,912","288,417","219,218"
,Appartment,0,75,"0,2",2,30+,1,No,54642,2,0,0,2,0,"1,8","1,5",2,1,1,1,0,"0,8889","20,001€ - 40,000€",Often or Always,Sometimes,Often or Always,No,Rarely,Rarely,25/08/2021,23/12/2021,120,767,"6,391666667","0,08522222222","271,562","83,192","57,442"
,Appartment,0,60,0,2,16 - 30,"0,66",No,54453,2,0,0,2,0,"1,8","1,5",2,0,0,0,0,"0,8333","20,001€ - 40,000€",Often or Always,Sometimes,Often or Always,No,Rarely,Rarely,13/11/2021,10/03/2022,117,249,"2,128205128","0,03547008547","779,528",0,0
,Appartment,0,86,"0,4",3,30+,1,No,55135,5,0,1,4,0,"4,35","3,9","4,75",3,0,3,0,"0,9167","20,001€ - 40,000€",Often or Always,Sometimes,Often or Always,No,Rarely,Rarely,26/11/2020,30/03/2021,124,1805,"14,55645161","0,1692610653","727,817",0,0
,Appartment,0,36,0,1,0 - 5,0,No,11251,1,0,0,1,0,"0,9","0,75",1,1,0,1,0,"0,9444","10,001€ - 20,000€",Often or Always,Sometimes,Often or Always,No,Rarely,Rarely,09/09/2021,12/01/2022,125,378,"3,024","0,084","227,883","67,071","46,033"
,Appartment,0,120,"0,6",3,6 - 15,"0,33",No,62125,4,0,0,4,0,"3,6",3,4,2,0,2,0,"0,8889","20,001€ - 40,000€",Often or Always,Sometimes,Often or Always,No,Rarely,Rarely,18/11/2021,16/03/2022,118,981,"8,313559322","0,06927966102","1.006,01",0,0
,Appartment,0,45,0,1,30+,1,No,54248,1,0,0,1,0,"0,9","0,75",1,0,0,1,0,"0,9444","0 - 10,000€",Often or Always,Sometimes,Often or Always,No,Rarely,Rarely,24/06/2021,26/07/2021,32,42,"1,3125","0,02916666667",0,"252,975","199,553"
,Appartment,0,60,0,2,16 - 30,"0,66",No,54453,2,0,0,2,0,"1,8","1,5",2,0,0,0,0,"0,8333","20,001€ - 40,000€",Often or Always,Sometimes,Often or Always,No,Rarely,Rarely,12/07/2021,12/11/2021,123,530,"4,308943089","0,07181571816","52,687","379,267","438,98"
,Appartment,0,86,"0,4",3,30+,1,No,55135,5,0,1,4,0,"4,35","3,9","4,75",3,0,3,0,"0,9167","20,001€ - 40,000€",Often or Always,Sometimes,Often or Always,No,Rarely,Rarely,28/07/2021,28/11/2021,123,1375,"11,17886179","0,129986765",107,"306,333","232,395"
,Appartment,0,36,0,1,0 - 5,0,No,11251,1,0,0,1,0,"0,9","0,75",1,1,0,1,0,"0,9444","10,001€ - 20,000€",Often or Always,Sometimes,Often or Always,No,Rarely,Rarely,16/06/2021,09/09/2021,85,237,"2,788235294","0,07745098039",0,"610,892","479,082"
,Appartment,0,120,"0,6",3,6 - 15,"0,33",No,62125,4,0,0,4,0,"3,6",3,4,2,0,2,0,"0,8889","20,001€ - 40,000€",Often or Always,Sometimes,Often or Always,No,Rarely,Rarely,15/07/2021,17/11/2021,125,981,"7,848","0,0654","175,283","335,367","255,354"
,Townhome,"0,4",200,"0,8",3,16 - 30,"0,66",No,55236,4,0,0,3,1,"3,7","2,75","3,75",1,1,3,0,"0,9167","20,001€ - 40,000€",Often or Always,Sometimes,Often or Always,No,Rarely,Rarely,27/10/2021,24/02/2022,120,1508,"12,56666667","0,06283333333","741,282",0,0
,Townhome,"0,4",200,"0,8",3,16 - 30,"0,66",No,55236,4,0,0,3,1,"3,7","2,75","3,75",1,1,3,0,"0,9167","20,001€ - 40,000€",Often or Always,Sometimes,Often or Always,No,Rarely,Rarely,27/10/2021,24/02/2022,120,1508,"12,56666667","0,06283333333","741,282",0,0
,Appartment,0,35,0,2,0 - 5,0,Yes,54636,6,0,0,5,1,"5,5","4,25","5,75",3,2,3,0,"0,8889","0 - 10,000€",Rarely,Sometimes,Often or Always,No,Rarely,Rarely,23/09/2021,22/01/2022,121,323,"2,669421488","0,07626918536","599,031","5,642","3,645"
,Appartment,0,85,"0,4",2,0 - 5,0,No,54248,1,0,0,1,0,"0,9","0,75",1,1,0,1,1,"1,0000","10,001€ - 20,000€",Rarely,Sometimes,Often or Always,No,Rarely,Rarely,01/01/2022,28/02/2022,58,1500,"25,86206897","0,3042596349","418,458",0,0
,Appartment,0,85,"0,4",2,0 - 5,0,No,54248,1,0,0,1,0,"0,9","0,75",1,1,0,1,1,"1,0000","10,001€ - 20,000€",Rarely,Sometimes,Often or Always,No,Rarely,Rarely,01/05/2021,31/07/2021,91,900,"9,89010989","0,116354234","0,687","401,279","306,739"
,Family House,1,350,1,3,6 - 15,"0,33",Yes,55236,4,0,2,2,0,"3,3","3,3","3,5",0,0,1,0,"0,8889","10,001€ - 20,000€",Sometimes,Often or Always,Often or Always,No,Rarely,Rarely,13/11/2020,14/01/2021,62,2433,"39,24193548","0,1121198157","274,662",0,0
,Appartment,0,88,"0,4",2,16 - 30,"0,66",No,56533,4,0,0,4,0,"3,6",3,4,2,0,1,1,"0,8750","20,001€ - 40,000€",Sometimes,Often or Always,Often or Always,No,Rarely,Rarely,31/08/2021,02/01/2022,124,868,7,"0,07954545455","331,296","71,558","49,18"
,Appartment,0,88,"0,4",2,16 - 30,"0,66",No,56533,4,0,0,4,0,"3,6",3,4,2,0,1,1,"0,8750","20,001€ - 40,000€",Sometimes,Often or Always,Often or Always,No,Rarely,Rarely,29/04/2021,30/08/2021,123,1072,"8,715447154","0,09903917221","0,775","628,837","485,019"
,Appartment,0,54,0,1,6 - 15,"0,33",Yes,54636,1,0,0,1,0,"0,9","0,75",1,0,0,0,0,"0,8333","20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Rarely,20/09/2021,19/01/2022,121,621,"5,132231405","0,09504132231","571,704","11,929","8,131"
,Appartment,0,100,"0,4",2,30+,1,Yes,58200,2,0,0,2,0,"1,8","1,5",2,2,0,2,0,"0,9444","20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Rarely,02/11/2021,08/01/2022,67,1276,"19,04477612","0,1904477612","484,468","0,308","0,097"
,Appartment,0,48,0,1,30+,1,Yes,54453,3,0,1,1,0,"1,65","1,65","1,75",1,0,0,0,"0,8333","10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Rarely,14/01/2022,23/02/2022,40,482,"12,05","0,2510416667","312,712",0,0
,Appartment,0,54,0,1,6 - 15,"0,33",Yes,54636,1,0,0,1,0,"0,9","0,75",1,0,0,0,0,"0,8333","20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Rarely,20/05/2021,19/09/2021,122,261,"2,139344262","0,03961748634","2,587","530,908","399,237"
,Appartment,0,100,"0,4",2,30+,1,Yes,58200,2,0,0,2,0,"1,8","1,5",2,2,0,2,0,"0,9444","20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Rarely,02/04/2021,01/08/2021,121,1350,"11,15702479","0,1115702479","92,979","385,238","292,416"
,Appartment,0,48,0,1,30+,1,Yes,54453,3,0,1,1,0,"1,65","1,65","1,75",1,0,0,0,"0,8333","10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Rarely,09/08/2021,09/10/2021,61,582,"9,540983607","0,1987704918","1,063","178,933","175,143"
,Semidetached,"0,7",180,"0,8",3,6 - 15,"0,33",Yes,57001,2,0,0,2,0,"1,8","1,5",2,2,0,2,2,"1,0000","40,000€ - 60,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Rarely,06/09/2021,06/01/2022,122,942,"7,721311475","0,04289617486","390,462","46,783","32,546"
,Semidetached,"0,7",180,"0,8",3,6 - 15,"0,33",Yes,57001,2,0,0,2,0,"1,8","1,5",2,2,0,2,2,"1,0000","40,000€ - 60,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Rarely,08/01/2021,09/05/2021,121,992,"8,198347107","0,04554637282","619,912","9,238","5,674"
,Family House,1,140,"0,6",3,6 - 15,"0,33",No,57500,4,2,0,2,0,"2,8","3,5",3,2,0,2,2,"1,0000","40,000€ - 60,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Rarely,12/10/2020,10/02/2021,121,2438,"20,14876033","0,1439197166","483,492","1,917","0,368"
,Family House,1,140,"0,6",3,6 - 15,"0,33",No,57500,4,2,0,2,0,"2,8","3,5",3,2,0,2,2,"1,0000","40,000€ - 60,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Rarely,11/06/2020,11/10/2020,122,1909,"15,64754098","0,1117681499","0,112","378,833","265,114"
,Appartment,0,64,"0,2",1,16 - 30,"0,66",No,54646,2,0,0,2,0,"1,8","1,5",2,2,0,2,2,"1,0000","20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Rarely,11/11/2020,19/03/2021,128,617,"4,8203125","0,07531738281","714,879",0,0
,Appartment,0,50,0,1,6 - 15,"0,33",No,54642,1,0,0,1,0,"0,9","0,75",1,0,0,0,0,"0,8333","10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Rarely,22/10/2021,21/02/2022,122,196,"1,606557377","0,03213114754","727,761",0,0
,Appartment,0,103,"0,6",3,6 - 15,"0,33",No,54352,4,1,1,2,0,"3,05","3,4","3,25",2,0,2,1,"0,9722","20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Rarely,31/08/2021,13/12/2021,104,1571,"15,10576923","0,1466579537","180,287","54,146","36,088"
,Appartment,0,64,"0,2",1,16 - 30,"0,66",No,54646,2,0,0,2,0,"1,8","1,5",2,2,0,2,2,"1,0000","20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Rarely,17/07/2020,17/11/2020,123,558,"4,536585366","0,07088414634","31,446","311,046","223,272"
,Appartment,0,103,"0,6",3,6 - 15,"0,33",No,54352,4,1,1,2,0,"3,05","3,4","3,25",2,0,2,1,"0,9722","20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Rarely,12/04/2021,12/08/2021,122,2133,"17,48360656","0,169743753","42,638","410,808","463,843"
,Appartment,0,80,"0,2",3,16 - 30,"0,66",No,56226,4,0,1,3,0,"3,45","3,15","3,75",2,0,1,0,"0,8704","40,000€ - 60,000€",Rarely,Often or Always,Often or Always,No,Rarely,Rarely,07/09/2021,13/01/2022,128,1256,"9,8125","0,12265625","429,297","49,304","33,398"
,Appartment,0,80,"0,2",2,30+,1,No,55133,1,0,0,1,0,"0,9","0,75",1,1,0,1,1,"1,0000","0 - 10,000€",Rarely,Often or Always,Often or Always,No,Rarely,Rarely,09/12/2021,08/01/2022,30,61,"2,033333333","0,02541666667","253,814",0,0
,Appartment,0,100,"0,4",3,16 - 30,"0,66",No,41223,4,0,1,3,0,"3,45","3,15","3,75",1,1,2,0,"0,9074","20,001€ - 40,000€",Rarely,Often or Always,Often or Always,No,Rarely,Rarely,28/08/2021,04/01/2022,129,696,"5,395348837","0,05395348837","399,767","91,971","65,941"
,Appartment,0,80,"0,2",3,16 - 30,"0,66",No,56226,4,0,1,3,0,"3,45","3,15","3,75",2,0,1,0,"0,8704","40,000€ - 60,000€",Rarely,Often or Always,Often or Always,No,Rarely,Rarely,11/05/2021,07/09/2021,119,1622,"13,6302521","0,1703781513","0,604","642,492","495,768"
,Appartment,0,80,"0,2",2,30+,1,No,55133,1,0,0,1,0,"0,9","0,75",1,1,0,1,1,"1,0000","0 - 10,000€",Rarely,Often or Always,Often or Always,No,Rarely,Rarely,11/06/2021,13/07/2021,32,71,"2,21875","0,027734375",0,"182,813","140,606"
,Appartment,0,100,"0,4",3,16 - 30,"0,66",No,41223,4,0,1,3,0,"3,45","3,15","3,75",1,1,2,0,"0,9074","20,001€ - 40,000€",Rarely,Often or Always,Often or Always,No,Rarely,Rarely,15/05/2021,19/08/2021,96,587,"6,114583333","0,06114583333","2,2","563,675","434,356"
,Appartment,0,75,"0,2",2,6 - 15,"0,33",No,57010,3,0,0,1,2,"2,9","1,75","2,5",0,0,2,0,"0,9074","0 - 10,000€",Sometimes,Rarely,Often or Always,No,Rarely,Rarely,28/09/2021,27/01/2022,121,705,"5,826446281","0,07768595041","633,136","0,642","0,289"
,Appartment,0,107,"0,6",2,30+,1,Yes,54454,2,0,0,1,1,"1,9","1,25","1,75",0,0,1,0,"0,8889","20,001€ - 40,000€",Rarely,Rarely,Often or Always,No,Rarely,Rarely,08/10/2021,07/02/2022,122,2747,"22,51639344","0,2104335836","638,112",0,0
,Appartment,0,65,"0,2",2,0 - 5,0,No,54622,2,0,0,2,0,"1,8","1,5",2,1,0,1,0,"0,8889","0 - 10,000€",Rarely,Rarely,Often or Always,No,Rarely,Rarely,29/09/2021,31/01/2022,124,833,"6,717741935","0,1033498759","598,774","0,188","0,011"
,Appartment,0,65,"0,2",2,0 - 5,0,No,54622,2,0,0,2,0,"1,8","1,5",2,1,0,1,0,"0,8889","0 - 10,000€",Rarely,Rarely,Often or Always,No,Rarely,Rarely,26/06/2020,13/08/2020,48,204,"4,25","0,06538461538",0,"226,296","168,22"
,Semidetached,"0,7",64,"0,2",2,16 - 30,"0,66",No,63200,2,0,0,1,1,"1,9","1,25","1,75",0,0,1,0,"0,8889","20,001€ - 40,000€",Rarely,Rarely,Often or Always,No,Rarely,Rarely,14/08/2021,15/12/2021,123,403,"3,276422764","0,05119410569","192,458","123,846","90,413"
,Family House,1,186,"0,8",3,6 - 15,"0,33",No,57001,3,0,0,3,0,"2,7","2,25",3,0,0,0,0,"0,8333","0 - 10,000€",Often or Always,Sometimes,Rarely,No,Rarely,Rarely,02/09/2021,02/01/2022,122,2483,"20,35245902","0,1094218227","354,082","55,475","38,51"
,Family House,1,186,"0,8",3,6 - 15,"0,33",No,57001,3,0,0,3,0,"2,7","2,25",3,0,0,0,0,"0,8333","0 - 10,000€",Often or Always,Sometimes,Rarely,No,Rarely,Rarely,05/05/2021,01/09/2021,119,2482,"20,85714286","0,1121351767","3,487","567,4","432,37"
,Appartment,0,138,"0,6",2,6 - 15,"0,33",No,57001,2,0,0,2,0,"1,8","1,5",2,1,1,2,1,"0,9722","10,001€ - 20,000€",Often or Always,Often or Always,Rarely,No,Rarely,Rarely,03/09/2021,03/01/2022,122,1596,"13,08196721","0,09479686386","362,608","52,5","36,395"
,Appartment,0,138,"0,6",2,6 - 15,"0,33",No,57001,2,0,0,2,0,"1,8","1,5",2,1,1,2,1,"0,9722","10,001€ - 20,000€",Often or Always,Often or Always,Rarely,No,Rarely,Rarely,29/04/2021,03/09/2021,127,1674,"13,18110236","0,09551523451","4,037","577,9","439,312"
,Semidetached,"0,7",225,1,2,16 - 30,"0,66",No,55236,2,0,0,2,0,"1,8","1,5",2,1,0,1,0,"0,8889","20,001€ - 40,000€",Often or Always,Often or Always,Rarely,No,Rarely,Rarely,15/09/2021,15/01/2022,122,2400,"19,67213115","0,08743169399","474,404","32,183","22,558"
,Semidetached,"0,7",225,1,2,16 - 30,"0,66",No,55236,2,0,0,2,0,"1,8","1,5",2,1,0,1,0,"0,8889","20,001€ - 40,000€",Often or Always,Often or Always,Rarely,No,Rarely,Rarely,15/05/2021,15/09/2021,123,3000,"24,3902439","0,108401084","1,517","587,292","446,73"
,Appartment,0,62,"0,2",2,0 - 5,0,No,54635,2,0,0,2,0,"1,8","1,5",2,0,0,0,0,"0,8333","0 - 10,000€",Rarely,Rarely,Rarely,No,Rarely,Rarely,07/09/2021,06/01/2022,121,524,"4,330578512","0,06984804052","382,179","35,262","23,19"
,Appartment,0,62,"0,2",2,0 - 5,0,No,54635,2,0,0,2,0,"1,8","1,5",2,0,0,0,0,"0,8333","0 - 10,000€",Rarely,Rarely,Rarely,No,Rarely,Rarely,08/01/2021,06/05/2021,118,558,"4,728813559","0,07627118644","632,363","3,488","2,061"
,Appartment,0,87,"0,4",2,0 - 5,0,Yes,54454,4,0,1,3,0,"3,45","3,15","3,75",2,1,2,0,"0,9074","10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,Yes,Often or Always,Sometimes,08/10/2021,12/02/2022,127,1196,"9,417322835","0,1082450901","669,646",0,0
,Appartment,0,87,"0,4",2,0 - 5,0,Yes,54454,4,0,1,3,0,"3,45","3,15","3,75",2,1,2,0,"0,9074","10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,Yes,Often or Always,Sometimes,08/06/2021,07/10/2021,121,974,"8,049586777","0,09252398594","1,008","532,196","554,69"
,Appartment,0,70,"0,2",2,6 - 15,"0,33",No,54453,4,2,0,2,0,"2,8","3,5",3,1,0,0,0,"0,8333","0 - 10,000€",Sometimes,Often or Always,Often or Always,No,Often or Always,Sometimes,03/12/2021,04/03/2022,91,1021,"11,21978022","0,1602825746","682,981",0,0
,Appartment,0,70,"0,2",2,6 - 15,"0,33",No,54453,4,2,0,2,0,"2,8","3,5",3,1,0,0,0,"0,8333","0 - 10,000€",Sometimes,Often or Always,Often or Always,No,Often or Always,Sometimes,02/06/2021,08/10/2021,128,1021,"7,9765625","0,1139508929","1,125","538,271","558,303"
